There	O
'	O
s	O
no	O
denying	O
it	O
,	O
Budapest	O
is	O
one	O
of	O
Europe	O
'	O
s	O
most	O
underrated	O
cities	O
.	O

Four	B-PURPOSE
Seasons	I-PURPOSE
Gresham	I-PURPOSE
Palace	I-PURPOSE
Pictured	O
is	O
the	O
view	O
from	O
the	O
Presidential	O
Suite	O
inside	O
the	O
Four	B-PURPOSE
Seasons	I-PURPOSE
Gresham	I-PURPOSE
Palace	I-PURPOSE
,	O
one	O
of	O
the	O
most	O
opulent	O
and	O
impressive	O
hotels	O
in	O
the	O
city	O
of	O
Budapest	O
.	O

The	O
fourth	O
courtyard	O
served	O
as	O
the	O
sultan	O
'	O
s	O
inner	O
sanctum	O
.	O

Run	O
by	O
the	O
Royal	O
Thai	O
Army	O
,	O
the	O
arena	O
holds	O
contests	O
every	O
Tuesday	O
,	O
Friday	O
and	O
Saturday	O
night	O
.	O

Because	O
winning	O
is	O
very	O
prestigious	O
the	O
fights	O
are	O
fiercely	O
contested	O
.	O

The	O
tightly	O
packed	O
seats	O
are	O
close	O
to	O
the	O
ring	O
.	O

Lumpinee	B-PURPOSE
is	O
one	O
of	O
the	O
only	O
places	O
where	O
gambling	O
is	O
permitted	O
,	O
so	O
the	O
fans	O
are	O
even	O
more	O
passionate	O
as	O
they	O
have	O
money	O
riding	O
on	O
the	O
fight	O
.	O

14	O
.	O

Terminal	B-PURPOSE
21	I-PURPOSE
With	O
each	O
floor	O
home	O
to	O
a	O
different	O
market	O
street	O
from	O
around	O
the	O
world	O
,	O
visitors	O
to	O
this	O
themed	O
shopping	O
mall	O
can	O
find	O
themselves	O
in	O
Rome	O
one	O
minute	O
before	O
moving	O
on	O
to	O
Istanbul	O
and	O
Tokyo	O
the	O
next	O
.	O

Terminal	B-PURPOSE
21	I-PURPOSE
is	O
really	O
well	O
done	O
;	O
each	O
of	O
the	O
floors	O
is	O
instantly	O
recognizable	O
,	O
with	O
such	O
features	O
as	O
a	O
miniature	O
Golden	O
Gate	O
Bridge	O
and	O
London	O
Underground	O
Carriage	O
transporting	O
you	O
to	O
another	O
world	O
.	O

With	O
lots	O
of	O
restaurants	O
as	O
well	O
as	O
a	O
cinema	O
,	O
Terminal	B-PURPOSE
21	I-PURPOSE
is	O
a	O
fun	O
place	O
to	O
do	O
some	O
shopping	O
in	O
a	O
unique	O
mall	O
.	O

13	O
.	O

Siam	B-PURPOSE
Paragon	I-PURPOSE
A	O
cavernous	O
place	O
,	O
Siam	B-PURPOSE
Paragon	I-PURPOSE
is	O
one	O
of	O
the	O
largest	O
shopping	O
malls	O
in	O
the	O
whole	O
of	O
Thailand	O
and	O
there	O
are	O
a	O
wealth	O
of	O
things	O
for	O
people	O
to	O
see	O
and	O
do	O
apart	O
from	O
just	O
shopping	O
.	O

Known	O
as	O
the	O
Tulip	B-PURPOSE
Garden	I-PURPOSE
,	O
the	O
buildings	O
are	O
adorned	O
with	O
mother-of-pearl	O
,	O
tortoise	O
shell	O
inlays	O
and	O
exquisite	O
blue-and-white	O
Iznik	O
tiles	O
.	O

In	O
addition	O
to	O
its	O
endless	O
array	O
of	O
shops	O
and	O
restaurants	O
,	O
the	O
complex	O
is	O
home	O
to	O
an	O
aquarium	O
,	O
an	O
art	O
gallery	O
that	O
showcases	O
Thai	O
art	O
,	O
and	O
an	O
opera	O
concert	O
hall	O
that	O
puts	O
on	O
some	O
dazzling	O
performances	O
.	O

With	O
karaoke	O
,	O
bowling	O
and	O
15	O
huge	O
cinema	O
screens	O
also	O
on	O
offer	O
,	O
Siam	B-PURPOSE
Paragon	I-PURPOSE
is	O
the	O
perfect	O
mix	O
of	O
culture	O
,	O
cuisine	O
,	O
and	O
entertainment	O
all	O
mixed	O
into	O
one	O
.	O

12	O
.	O

Wat	B-HERITAGE
Saket	I-HERITAGE
